Date;Open;High;Low;Close;Volume;Market Cap;MA(20);MA(50);MA(200);RSI(14)(SMA).11
2017;998.325;1031.39;996.702;1021.79;187143686.4;16343198030;878.4710952;802.4752353;678.0509801;87.16123441
2017;1021.75;1044.08;1021.6;1044.08;196321881.9;16552062818;890.9709524;809.1809804;679.4337164;87.71650315
2017;1043.84;1159.42;1043.84;1153.54;236739191;17558616451;908.7013333;817.9839216;681.444597;90.12629219
2017;1154.73;1191.1;910.417;1010.62;431154142.4;17283913160;919.7646667;823.8466863;682.7089602;64.27042723
2017;1013.38;1046.81;883.944;902.201;437660606.3;15215489313;925.3501905;826.9438431;683.399597;48.28742345
2017;903.487;908.572;823.556;908.572;322390361.1;14092019635;930.9579048;830.2226863;684.251597;50.92108372
2017;908.585;942.724;887.249;909.923;198818402.8;14738381597;936.6567143;833.3235686;685.4656418;51.22240579
2017;911.199;913.686;879.807;903.303;149843198.6;14451619138;941.9174762;836.3004902;687.0332139;49.65495846
2017;902.828;914.873;901.06;907.59;123322652.8;14598616493;946.9840952;839.7630588;688.444791;47.59083508
2017;907.679;919.448;762.765;778.886;188736649.3;13680757276;944.4517619;840.5337059;689.0017114;33.74861129
2017;777.757;826.246;755.756;805.331;286729264.8;12538164945;941.617;841.5919412;689.6981841;36.64686873
2017;804.834;829.001;780.003;822.841;183620721.3;12957544840;936.9204762;843.1264706;690.6572886;39.11394199
2017;823.984;835.085;812.456;818.72;135653939.9;13331049074;933.1207143;844.6611961;691.500995;38.62246717
2017;818.412;823.307;812.871;821.828;81401579.17;13184877519;929.560619;846.2339608;692.3702239;35.47362286
2017;821.798;834.53;820.271;831.325;74078441.81;13351746151;925.9551429;848.1106471;693.3233682;33.88901765
2017;831.534;910.561;830.796;907.348;119828898.3;14128975687;924.7500476;851.5492157;694.4841095;39.39792443
2017;907.938;917.499;858.304;882.968;160508503.5;14343702793;920.330381;854.4353529;695.5139801;25.83125505
2017;886.618;904.614;884.338;899.444;111160397.9;14428328589;916.7996667;857.6459412;696.4898806;37.17136844
2017;899.073;899.398;887.008;895.042;93650963.07;14409102219;913.6537143;860.5739216;697.6724677;48.91298076
2017;895.026;927.367;895.026;921.813;104795164.9;14797105550;911.6639048;863.8148039;698.8588557;51.89322124
2017;921.789;937.525;897.564;923.612;99935815.97;14910004657;908.1322381;866.6756471;700.1178955;51.95477276
2017;924.673;928.266;916.738;921.604;93124419.16;14878299327;903.3614762;869.6264706;701.3346716;52.64824285
2017;921.012;924.145;892.286;892.286;96510647.92;14521285581;896.1331905;871.9552157;702.5914826;47.93502842
2017;892.687;903.252;891.687;901.297;103423122.9;14485642973;884.121619;874.7517451;703.758597;74.39739466
2017;901.542;919.326;901.542;917.788;119703595.8;14686024162;879.7010476;877.7628235;705.0863433;73.3395596
2017;917.586;923.223;915.846;919.764;133798916.1;14850089984;880.537381;880.7356471;706.4298109;71.50203433
2017;919.75;923.911;919.75;921.583;91621393.75;14870049775;881.1569524;883.6889608;707.7925224;73.05528535
2017;921.59;923.418;919.148;919.518;59983756.6;14879590267;881.6138571;886.569451;709.0610348;71.9986849
2017;919.496;923.048;919.474;920.728;64508362.02;14876345029;882.443619;889.4336863;710.3797214;70.9130803
2017;920.382;972.019;920.382;970.555;111377196.9;15209183747;885.4419524;893.376098;711.9357811;66.85043694
2017;970.403;989.114;970.403;989.114;170890229.7;15805376727;895.4528095;897.4728824;713.5540199;79.20399269
2017;989.023;1013.52;983.221;1011.67;133897802.8;16099601074;905.2784762;901.9843922;715.2926219;79.87721764
2017;1011.8;1033.87;1008.79;1028.74;189501097.2;16529099347;915.0831905;906.8380784;717.0334179;83.34447326
2017;1029.91;1045.9;1015.16;1042.56;156215250;16654950352;925.7422381;912.0198431;718.8700547;82.19422063
